Reversal of Fortune;;78;;92;;R;;When socialite Sunny von Bülow (Glenn Close) inexplicably slips into an irreversible coma, police suspect foul play -- and the obvious suspect is her urbane husband, Claus (Jeremy Irons). After being found guilty of murder, Claus is granted a retrial and hires showboat Harvard Law professor Alan Dershowitz (Ron Silver) to represent him. Though unconvinced of Claus's innocence, Dershowitz enjoys a challenge and -- along with a group of his students -- fights to have the verdict overturned.;;Drama;;Barbet Schroeder;;1990;;Glenn Close,Jeremy Irons,Ron Silver,Annabella Sciorra,Uta Hagen,Fisher Stevens,Christine Baranski,Mano Singh,Felicity Huffman,Alan Pottinger,Julie Hagerty,Sarah Fearon,Jad Mager
Presumed Innocent;;67;;87;;R;;Prosecuting attorney Raymond Horgan (Brian Dennehy) assigns his chief deputy, the taciturn Rusty Sabitch (Harrison Ford), to investigate the rape and murder of colleague Carolyn Polhemus (Greta Scacchi), unaware of their torrid affair. When evidence implicates Rusty, Horgan's political enemies demand his arrest, devastating Rusty's wife, Barbara (Bonnie Bedelia). In desperation, Rusty turns to crafty defense attorney Sandy Stein (Raul Julia), only to be stunned by his trial's revelations.;;Mystery & thriller;;Alan J. Pakula;;1990;;Harrison Ford,Brian Dennehy,Raul Julia,Bonnie Bedelia,Paul Winfield,Greta Scacchi,John Spencer,Joe Grifasi,Sab Shimono,Jesse Bradford
La Femme Nikita;;84;;89;;R;;Convicted felon Nikita (Anne Parillaud), instead of going to jail, is given a new identity and trained to be a secret police assassin controlled by the government. Her lonely life is warmed when she falls in love with a man who knows nothing of her mysterious life.;;Mystery & thriller,Action;;Luc Besson;;1990;;Anne Parillaud,Jean-Hugues Anglade,Tchéky Karyo,Jeanne Moreau,Jean Reno,Jean Bouise,Marc Duret,Patrick Fontana
The Grifters;;70;;91;;R;;Hard-as-nails Lily Dillon (Anjelica Huston) works as a swindler for dangerous bookie Bobo (Pat Hingle), probably the only man she fears. Arriving in Los Angeles on "business," Lily looks up her son, Roy (John Cusack), a small-time con artist content with paltry sleight-of-hand cheats. Roy's girlfriend, Myra (Annette Bening), looks like an All-American type but is a grifter looking to pull off another big-time con. The convergence of the three hustlers inevitably means trouble for all of them.;;Crime,Drama;;Stephen Frears;;1990;;John Cusack,Anjelica Huston,Annette Bening,Pat Hingle,J.T. Walsh,Charles Napier,Henry Jones,Michael Laskin,Eddie Jones
Cry Baby;;77;;73;;PG-13;;A prim and proper schoolgirl goes against her mother's wishes when she dates a motorcycle-riding juvenile delinquent.;;Musical,Comedy;;John Waters;;1990;;Johnny Depp,Amy Locane,Susan Tyrrell,Polly Bergen,Iggy Pop,Ricki Lake,Traci Lords,Kim McGuire,Darren E. Burrows
Back to the Future Part III;;78;;80;;PG;;In this final chapter, Marty McFly (Michael J. Fox) obtains a 70-year-old message from the time-traveling Dr. Emmett Brown (Christopher Lloyd), in which he informs Marty that he has retired to a small town in the Old West. Marty then finds out that the Doc was murdered shortly after sending the letter. In order to save his friend, Marty will have to travel back in time, disentangle a lovestruck Doc from a local schoolmarm, and repair the DeLorean -- all while avoiding a posse of gunslingers.;;Sci-fi,Fantasy,Adventure,Western,Comedy;;Robert Zemeckis;;1990;;Michael J. Fox,Christopher Lloyd,Mary Steenburgen,Tom Wilson,Lea Thompson,Elisabeth Shue,Matt Clark,Richard Dysart,James Tolkan,Pat Buttram,Harry Carey Jr.,Dub Taylor,Christopher Wynne,Sean Sullivan,Mike Watson
The Hunt for Red October;;88;;88;;PG;;Based on the popular Tom Clancy novel, this suspenseful movie tracks Soviet submarine captain Marko Ramius (Sean Connery) as he abandons his orders and heads for the east coast of the United States. Equipped with innovative stealth technology, Ramius' submarine, "Red October," is virtually invisible. However, when an American sub briefly detects the Russians' presence, CIA agent Jack Ryan (Alec Baldwin) sets out to determine Ramius' motives, fearing he may launch an attack on the U.S.;;Adventure,Mystery & thriller,Action;;John McTiernan;;1990;;Sean Connery,Alec Baldwin,Scott Glenn,Sam Neill,James Earl Jones,Joss Ackland,Richard Jordan,Peter Firth,Tim Curry,Courtney B. Vance,Stellan Skarsgård,Jeffrey Jones,Fred Dalton Thompson,Daniel Davis,Tomas Arana
Goodfellas;;97;;96;;R;;A young man grows up in the mob and works very hard to advance himself through the ranks. He enjoys his life of money and luxury, but is oblivious to the horror that he causes. A drug addiction and a few mistakes ultimately unravel his climb to the top. Based on the book "Wiseguy" by Nicholas Pileggi.;;Drama,Crime;;Martin Scorsese;;1990;;Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino,Frank Sivero,Tony Darrow,Mike Starr,Frank Vincent,Chuck Low,Frank DiLeo,Christopher Serrone
Tremors;;75;;86;;PG-13;;Repairmen Val McKee (Kevin Bacon) and Earl Bassett (Fred Ward) are tired of their dull lives in the small desert town of Perfection, Nev. But just as the two try to skip town, they happen upon a series of mysterious deaths and a concerned seismologist (Finn Carter) studying unnatural readings below the ground. With the help of an eccentric couple (Reba McEntire, Michael Gross), the group fights for survival against giant, worm-like monsters hungry for human flesh.;;Horror;;Ron Underwood;;1990;;Kevin Bacon,Fred Ward,Finn Carter,Michael Gross,Reba McEntire,Robert Jayne,Charlotte Stewart,Tony Genaros,Victor Wong
Gremlins 2: The New Batch;;57;;71;;PG-13;;The magical collectibles store that Gizmo calls home has just been destroyed, and the tiny monster finds his way into a newly erected skyscraper. Billy Peltzer (Zach Galligan) and his bride-to-be, Kate (Phoebe Cates), who have previously dealt with Gremlins run amok, discover that Gizmo and an impish legion of reptilian pals are inhabiting the downtown building. The couple tries to stop the creatures from escaping into New York City, but this new batch of beasts might be uncontrollable.;;Fantasy,Comedy;;Joe Dante;;1990;;Zach Galligan,Phoebe Cates,John Glover,Robert Prosky,Robert Picardo,Christopher Lee,Haviland Morris,Dick Miller,Jackie Joseph,Gedde Watanabe,Keye Luke,Kathleen Freeman
Flatliners;;59;;48;;R;;Seeking answers about the afterlife, Chicago medical student Nelson (Kiefer Sutherland) persuades his fellow pupils to help him end his life, and then resuscitate him in the nick of time. Atheist David (Kevin Bacon), playboy Joe (William Baldwin) and troubled Rachel (Julia Roberts) also journey into the unknown, looking for meaning in their own lives. As the experiments become more perilous, each is forced to contend with the paranormal consequences of trespassing on the other side.;;Sci-fi;;Joel Schumacher;;1990;;Kiefer Sutherland,Julia Roberts,Kevin Bacon,William Baldwin,Oliver Platt,Kimberly Scott,Joshua Rudoy,Benjamin Mouton,Hope Davis
Ghost;;80;;74;;PG-13;;Sam Wheat (Patrick Swayze) is a banker, Molly Jensen (Demi Moore) is an artist, and the two are madly in love. However, when Sam is murdered by friend and corrupt business partner Carl Bruner (Tony Goldwyn) over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown (Whoopi Goldberg) to set things right and protect Molly from Carl and his goons.;;Fantasy,Romance;;Jerry Zucker;;1990;;Patrick Swayze,Demi Moore,Whoopi Goldberg,Tony Goldwyn,Rick Aviles,Gail Boggs,Armelia McQueen,Vincent Schiavelli
The Godfather, Coda: The Death of Michael Corleone;;74;;87;;NC;;NC;;Crime,Drama;;Francis Ford Coppola;;1990;;Al Pacino,Diane Keaton,Talia Shire,Andy Garcia,Eli Wallach,Joe Mantegna,George Hamilton,Bridget Fonda,Sofia Coppola,Raf Vallone,Franc D'Ambrosio,Donal Donnelly,Richard Bright,Helmut Berger,Don Novello,John Savage,Franco Citti,Mario Donatone,Vittorio Duse,Enzo Robutti
The Freshman;;61;;94;;PG;;Clark Kellogg (Matthew Broderick) is robbed moments after arriving in New York, so when he sees his mugger several days later, he confronts him. The man promises to return his property and get him a job with his uncle, Carmine Sabatini (Marlon Brando), who turns out to be a Mafia boss. As Clark continues his shady work for Carmine, he discovers an elaborate underworld that has caught the attention of the authorities. As things come to a head, not everything is what it seems.;;Comedy;;Andrew Bergman;;1990;;Marlon Brando,Matthew Broderick,Bruno Kirby,Penelope Ann Miller,Frank Whaley,Jon Polito,Paul Benedict,Richard Gant,Kenneth Welsh,Pamela Payton-Wright,BD Wong
Misery;;89;;90;;R;;After a serious car crash, novelist Paul Sheldon (James Caan) is rescued by former nurse Annie Wilkes (Kathy Bates), who claims to be his biggest fan. Annie brings him to her remote cabin to recover, where her obsession takes a dark turn when she discovers Sheldon is killing off her favorite character from his novels. As Sheldon devises plans for escape, Annie grows increasingly controlling, even violent, as she forces the author to shape his writing to suit her twisted fantasies.;;Horror,Mystery & thriller;;Rob Reiner;;1990;;James Caan,Kathy Bates,Frances Sternhagen,Richard Farnsworth,Lauren Bacall,Graham Jarvis,J.T. Walsh,June Christopher
Teenage Mutant Ninja Turtles;;81;;41;;PG;;In New York, mysterious radioactive ooze has mutated four sewer turtles into talking, upright-walking, crime-fighting ninjas. The intrepid heroes -- Michelangelo (Robbie Rist), Donatello (Corey Feldman), Raphael (Josh Pais) and Leonardo (Brian Tochi) -- are trained in the Ninjutsu arts by their rat sensei, Splinter. When a villainous rogue ninja, who is a former pupil of Splinter, arrives and spreads lawlessness throughout the city, it's up to the plucky turtles to stop him.;;Kids & family,Adventure,Fantasy;;Steve Barron;;1990;;Judith Hoag,Elias Koteas,Josh Pais,Michelan Sisti,Leif Tilden,David Forman,Michael Turney,Jay Patterson,James Saito,Toshishiro Obata,Robbie Rist,Corey Feldman,Brian Tochi
Darkman;;59;;83;;R;;When thugs employed by a crime boss lead a vicious assault on Dr. Peyton Wilder (Liam Neeson), leaving him literally and psychologically scarred, an emergency procedure allows him to survive. Upon his recovery, Wilder can find solace only by returning to his scientific work developing synthetic skin, and seeking revenge against the crime boss. He assumes a phantom avenger persona called Darkman, who, with malleable facial qualities, is able to infiltrate and sow terror in the criminal community.;;Mystery & thriller,Action;;Sam Raimi;;1990;;Liam Neeson,Frances McDormand,Colin Friels,Larry Drake,Nelson Mashita,Jesse Lawrence Ferguson,Rafael Robledo,Dan Hicks,Ted Raimi,Dan Bell,Nicholas Worth,Bruce Campbell,Jenny Agutter
The Exorcist III;;56;;59;;R;;Police Lt. Kinderman (George C. Scott) notices similarities between his current murder investigation and the methods used by the "Gemini" killer (Brad Dourif) who was executed 15 years before. He soon discovers a hospitalized mental patient (Jason Miller) claiming to be the dead serial killer, but who looks uncannily like a priest Kinderman knew who died during an exorcism. As more bodies are found, Kinderman looks for connections between the two supposedly dead men.;;Horror;;William Peter Blatty;;1990;;George C. Scott,Ed Flanders,Brad Dourif,Jason Miller,Nicol Williamson,Scott Wilson,Nancy Fish,George Di Cenzo,Viveca Lindfors
The Witches;;70;;93;;PG;;While staying at a hotel in England with his grandmother, Helga (Mai Zetterling), young Luke (Jasen Fisher) inadvertently spies on a convention of witches. The Grand High Witch (Anjelica Huston) reveals a plan to turn all children into mice through a magical formula. When they find that Luke has overheard, the witches test the formula on him. Now, with the help of Helga and the hotel manager, Mr. Stringer (Rowan Atkinson), Luke the mouse must fight back against the witches.;;Kids & family,Adventure,Fantasy;;Nicolas Roeg;;1990;;Anjelica Huston,Mai Zetterling,Jasen Fisher,Rowan Atkinson,Bill Paterson,Brenda Blethyn,Jane Horrocks,Anne Lambton,Sukie Smith,Rose English,Jenny Runacre,Annabel Brooks,Emma Relph,Nora Connolly,Rosamund Greenwood,Angelique Rockas
The Godfather, Part III;;61;;68;;R;;As Michael Corleone (Al Pacino) ages, he finds that being the head of the Corleone crime family isn't getting any easier. He wants his family out of the Mafia, but the mob kingpin (Eli Wallach) isn't eager to let one of the most powerful and wealthy families go legit. Making matters even worse is Michael's nephew, Vincent (Andy Garcia). Not only does Vincent want a piece of the Corleone family's criminal empire, but he also wants Michael's daughter, Mary (Sofia Coppola).;;Crime,Drama;;Francis Ford Coppola;;1990;;Al Pacino,Diane Keaton,Talia Shire,Andy Garcia,Eli Wallach,Joe Mantegna,George Hamilton,Bridget Fonda,Sofia Coppola,Raf Vallone,Franc D'Ambrosio,Donal Donnelly,Richard Bright,Helmut Berger,Don Novello,John Savage,Franco Citti,Mario Donatone,Vittorio Duse,Enzo Robutti
